Geneid	Chr	Start	End	Strand	Length	AC3R1
Gene_007406	Random_Chr_015	194040	194402	+	362	0
Gene_007407	Random_Chr_015	194735	195601	+	866	35
Gene_007408	Random_Chr_015	195705	197615	+	1910	27
Gene_007409	Random_Chr_015	197811	198710	-	899	1
Gene_007410	Random_Chr_015	198912	199436	-	524	0
Gene_007411	Random_Chr_015	200178	200249	+	71	0
Gene_007412	Random_Chr_015	202087	204309	+	2222	4368
Gene_007413	Random_Chr_015	204798	205387	-	589	109
Gene_007414	Random_Chr_015	205919	209706	-	3787	2560
Gene_007415	Random_Chr_015	209801	211418	-	1617	5916
Gene_007416	Random_Chr_015	211882	212755	+	873	3948
Gene_007417	Random_Chr_015	212757	213455	+	698	3053
Gene_007418	Random_Chr_015	213457	213732	-	275	253
Gene_007419	Random_Chr_015	214893	216584	+	1691	1823
Gene_007420	Random_Chr_015	219021	219740	+	719	1483
Gene_007421	Random_Chr_015	219852	222164	-	2312	3020
Gene_007422	Random_Chr_015	222482	222745	-	263	0
Gene_007423	Random_Chr_015	224166	225137	+	971	198
Gene_007424	Random_Chr_015	225654	228112	+	2458	1201
Gene_007425	Random_Chr_015	228288	231139	-	2851	7001
Gene_007426	Random_Chr_015	231819	232271	+	452	13
Gene_007427	Random_Chr_015	232359	232724	-	365	0
Gene_007428	Random_Chr_015	233089	233886	+	797	0
Gene_007429	Random_Chr_015	234112	235770	+	1658	1494
Gene_007430	Random_Chr_015	235996	239044	+	3048	36
Gene_007431	Random_Chr_015	239972	240791	+	819	13
Gene_007432	Random_Chr_015	241381	242145	-	764	2229
Gene_007433	Random_Chr_015	242303	243707	+	1404	513
Gene_007434	Random_Chr_015	243952	245073	+	1121	19
Gene_007435	Random_Chr_015	245175	246356	+	1181	3
Gene_007436	Random_Chr_015	246471	249252	+	2781	4421
Gene_007437	Random_Chr_015	250152	254877	+	4725	1845
Gene_007438	Random_Chr_015	254925	257087	-	2162	7453
Gene_007439	Random_Chr_015	258414	260753	-	2339	5094
Gene_007440	Random_Chr_015	261003	262010	+	1007	157
Gene_007441	Random_Chr_015	263097	263534	-	437	227
Gene_007442	Random_Chr_015	263823	264519	-	696	130
Gene_007443	Random_Chr_015	265432	266672	+	1240	886
Gene_007444	Random_Chr_015	266768	267149	-	381	568
Gene_007445	Random_Chr_015	267317	268511	-	1194	1430
Gene_007446	Random_Chr_015	268513	270367	-	1854	455
Gene_007447	Random_Chr_015	270777	271934	+	1157	23805
Gene_007448	Random_Chr_015	273045	273947	+	902	477
Gene_007449	Random_Chr_015	274482	276515	+	2033	2896
Gene_007450	Random_Chr_015	276783	277523	-	740	3
Gene_007451	Random_Chr_015	278049	279502	-	1453	1952
Gene_007452	Random_Chr_015	280060	280797	+	737	230
Gene_007453	Random_Chr_015	281236	282540	-	1304	339
Gene_007454	Random_Chr_015	283511	288001	+	4490	565.5
Gene_007455	Random_Chr_015	288716	291183	+	2467	640
Gene_007456	Random_Chr_015	291412	292506	-	1094	8
Gene_007457	Random_Chr_015	293184	294178	-	994	2
Gene_007458	Random_Chr_015	294336	295354	-	1018	19
Gene_007459	Random_Chr_015	296206	296737	+	531	316
Gene_007460	Random_Chr_015	296961	297607	-	646	488
Gene_007461	Random_Chr_015	297945	298855	+	910	1173
Gene_007462	Random_Chr_015	298904	299432	-	528	68
Gene_007463	Random_Chr_015	300200	301096	-	896	1200
Gene_007464	Random_Chr_015	301328	306385	-	5057	856
Gene_007465	Random_Chr_015	306935	307375	+	440	489
Gene_007466	Random_Chr_015	307631	308917	-	1286	24
Gene_007467	Random_Chr_015	309760	312077	+	2317	2838
Gene_007468	Random_Chr_015	312307	314062	+	1755	829
Gene_007469	Random_Chr_015	314566	316014	+	1448	536
Gene_007470	Random_Chr_015	316150	317470	+	1320	3082
Gene_007471	Random_Chr_015	317524	318475	-	951	1157
Gene_007472	Random_Chr_015	319087	319317	+	230	0
Gene_007473	Random_Chr_015	319512	323238	-	3726	3481
Gene_007474	Random_Chr_015	323591	324086	-	495	1
Gene_007475	Random_Chr_015	325004	325866	-	862	38
Gene_007476	Random_Chr_015	326175	326655	+	480	327
Gene_007477	Random_Chr_015	326828	327892	+	1064	1361
Gene_007478	Random_Chr_015	328173	330244	+	2071	1816
Gene_007479	Random_Chr_015	330246	331662	-	1416	207
Gene_007480	Random_Chr_015	331665	332878	+	1213	340
Gene_007481	Random_Chr_015	332990	333061	-	71	0
Gene_007482	Random_Chr_015	333298	333813	+	515	764
Gene_007483	Random_Chr_015	334104	336185	-	2081	306
Gene_007484	Random_Chr_015	336563	338341	+	1778	153
Gene_007485	Random_Chr_015	338981	342518	+	3537	330
Gene_007486	Random_Chr_015	342601	343557	-	956	194
Gene_007487	Random_Chr_015	343724	344365	-	641	304
Gene_007488	Random_Chr_015	344692	346410	+	1718	3484
Gene_007489	Random_Chr_015	346412	348445	-	2033	39
Gene_007490	Random_Chr_015	348702	350518	-	1816	1517
Gene_007491	Random_Chr_015	351371	352924	+	1553	17
Gene_007492	Random_Chr_015	353167	355645	-	2478	791
Gene_007493	Random_Chr_015	355902	356395	+	493	28
Gene_007494	Random_Chr_015	356766	357325	-	559	141
Gene_007495	Random_Chr_015	357642	358366	+	724	68
Gene_007496	Random_Chr_015	358368	358782	-	414	155
Gene_007497	Random_Chr_015	358784	359602	+	818	89
Gene_007498	Random_Chr_015	360883	361981	-	1098	112
Gene_007499	Random_Chr_015	362063	362732	+	669	3869
Gene_007500	Random_Chr_015	362734	365483	-	2749	2919
Gene_007501	Random_Chr_015	366281	366711	+	430	0
Gene_007502	Random_Chr_015	367894	373695	+	5801	4175
Gene_007503	Random_Chr_015	373697	376131	+	2434	2819
Gene_007504	Random_Chr_015	376234	379786	-	3552	1550
Gene_007505	Random_Chr_015	380185	380768	-	583	189
Gene_007506	Random_Chr_015	380914	381531	+	617	32
Gene_007507	Random_Chr_015	382643	383915	-	1272	3136
Gene_007508	Random_Chr_015	383917	384295	-	378	757
Gene_007509	Random_Chr_015	385398	386809	-	1411	1050
Gene_007510	Random_Chr_015	386811	387016	-	205	70
Gene_007511	Random_Chr_015	387107	387731	-	624	1012
Gene_007512	Random_Chr_015	388447	392173	+	3726	13779
Gene_007513	Random_Chr_015	392338	394327	+	1989	12
Gene_007514	Random_Chr_015	396232	396645	-	413	2.67
Gene_007515	Random_Chr_015	397378	397713	-	335	1
Gene_007516	Random_Chr_015	397870	398484	-	614	2
Gene_007517	Random_Chr_015	398968	399201	-	233	0
Gene_007518	Random_Chr_015	401176	401667	-	491	0
Gene_007519	Random_Chr_015	402091	402471	-	380	1
Gene_007520	Random_Chr_015	402613	402765	-	152	0
Gene_007521	Random_Chr_015	403657	405202	+	1545	62
Gene_007522	Random_Chr_015	405204	407341	+	2137	318
Gene_007523	Random_Chr_015	407366	407695	-	329	735
Gene_007524	Random_Chr_015	407842	413412	-	5570	2084
Gene_007525	Random_Chr_015	413478	414873	+	1395	1484
Gene_007526	Random_Chr_015	415005	417589	+	2584	3729
Gene_007527	Random_Chr_015	417697	418793	+	1096	449
Gene_007528	Random_Chr_015	418795	419854	-	1059	1534
Gene_007529	Random_Chr_015	420235	421848	-	1613	133
Gene_007530	Random_Chr_015	421983	422965	-	982	158
Gene_007531	Random_Chr_015	423717	424797	-	1080	2184
Gene_007532	Random_Chr_015	425018	426682	-	1664	1185
Gene_007533	Random_Chr_015	426806	427442	-	636	34
Gene_007534	Random_Chr_015	429502	429687	+	185	23
Gene_007535	Random_Chr_015	433645	434849	+	1204	65
Gene_007536	Random_Chr_015	434851	436252	-	1401	182
Gene_007537	Random_Chr_015	436728	436877	+	149	7
Gene_007538	Random_Chr_015	437143	438480	+	1337	48
Gene_007539	Random_Chr_015	438646	440721	-	2075	1200
Gene_007540	Random_Chr_015	441186	442973	-	1787	899
Gene_007541	Random_Chr_015	443208	444718	-	1510	1116
Gene_007542	Random_Chr_015	444877	446752	-	1875	3750
Gene_007543	Random_Chr_015	447114	448235	-	1121	3421
Gene_007544	Random_Chr_015	450187	450881	+	694	1345
Gene_007545	Random_Chr_015	451256	452218	-	962	423
Gene_007546	Random_Chr_015	452416	453259	-	843	0
Gene_007547	Random_Chr_015	453997	454803	-	806	1343
Gene_007548	Random_Chr_015	454997	456257	+	1260	549
Gene_007549	Random_Chr_015	456259	456882	+	623	353
Gene_007550	Random_Chr_015	456926	458845	+	1919	1394
Gene_007551	Random_Chr_015	458847	459551	-	704	110
Gene_007552	Random_Chr_015	459846	460466	+	620	79
Gene_007553	Random_Chr_015	460813	461200	-	387	13
Gene_007554	Random_Chr_015	461306	465030	-	3724	82
Gene_007555	Random_Chr_015	465713	465877	-	164	2
Gene_007556	Random_Chr_015	468246	468589	+	343	0
Gene_007557	Random_Chr_015	469709	470721	+	1012	6820
Gene_007558	Random_Chr_015	471277	477165	+	5888	2827
Gene_007559	Random_Chr_015	477279	478691	-	1412	1993
Gene_007560	Random_Chr_015	478887	482314	-	3427	3292
Gene_007561	Random_Chr_015	483180	484260	+	1080	3892
Gene_007562	Random_Chr_015	484262	486530	-	2268	4334
Gene_007563	Random_Chr_015	487114	487281	+	167	379
Gene_007564	Random_Chr_015	489306	490866	-	1560	235
Gene_007565	Random_Chr_015	491213	493310	+	2097	1120
Gene_007566	Random_Chr_015	493480	494244	+	764	8
Gene_007567	Random_Chr_015	494312	496134	-	1822	236
Gene_007568	Random_Chr_015	496485	497392	+	907	1
Gene_007569	Random_Chr_015	497394	499828	-	2434	1704
Gene_007570	Random_Chr_015	499994	501163	+	1169	5948
Gene_007571	Random_Chr_015	501390	503112	+	1722	2657
Gene_007572	Random_Chr_015	503256	504726	+	1470	1002
Gene_007573	Random_Chr_015	504827	505198	-	371	5484.5
Gene_007574	Random_Chr_015	506051	507937	-	1886	3718
Gene_007575	Random_Chr_015	508082	509786	+	1704	299
Gene_007576	Random_Chr_015	509788	512001	+	2213	318
Gene_007577	Random_Chr_015	512003	512489	+	486	245
Gene_007578	Random_Chr_015	512491	512952	+	461	256
Gene_007579	Random_Chr_015	513520	515420	-	1900	243
Gene_007580	Random_Chr_015	515726	518698	+	2972	109
Gene_007581	Random_Chr_015	518700	519977	+	1277	781
Gene_007582	Random_Chr_015	520256	520666	-	410	44
Gene_007583	Random_Chr_015	521646	522005	-	359	3
Gene_007584	Random_Chr_015	522446	523567	-	1121	319
Gene_007585	Random_Chr_015	524086	524598	+	512	1033
Gene_007586	Random_Chr_015	524809	525375	+	566	619
Gene_007587	Random_Chr_015	525534	528443	+	2909	41
Gene_007588	Random_Chr_015	528492	528815	+	323	14
Gene_007589	Random_Chr_015	528882	530360	-	1478	293
Gene_007590	Random_Chr_015	531170	532874	-	1704	2273
Gene_007591	Random_Chr_015	533131	534222	-	1091	1685
Gene_007592	Random_Chr_015	534802	535146	+	344	0
Gene_007593	Random_Chr_015	535474	535800	-	326	0
Gene_007594	Random_Chr_015	536605	536907	-	302	1
Gene_007595	Random_Chr_015	537045	537569	-	524	312
Gene_007596	Random_Chr_015	537748	538922	-	1174	788
Gene_007597	Random_Chr_015	540412	540780	-	368	345
Gene_007598	Random_Chr_015	542735	544691	+	1956	1294
Gene_007599	Random_Chr_015	544764	546000	-	1236	5295
Gene_007600	Random_Chr_015	547329	551842	+	4513	839
Gene_007601	Random_Chr_015	552027	553032	-	1005	120
Gene_007602	Random_Chr_015	553106	555282	+	2176	228
Gene_007603	Random_Chr_015	555644	557002	-	1358	359
Gene_007604	Random_Chr_015	557004	559263	-	2259	4916
Gene_007605	Random_Chr_015	559509	559901	+	392	466
Gene_007606	Random_Chr_015	560113	561776	+	1663	196
Gene_007607	Random_Chr_015	563401	565059	+	1658	69
Gene_007608	Random_Chr_015	565776	566009	+	233	0
Gene_007609	Random_Chr_015	566202	566862	+	660	499
Gene_007610	Random_Chr_015	566864	567710	+	846	962
Gene_007611	Random_Chr_015	567806	568840	-	1034	340
Gene_007612	Random_Chr_015	569100	570062	+	962	1476
Gene_007613	Random_Chr_015	570262	570915	+	653	1320
Gene_007614	Random_Chr_015	571597	572016	+	419	2054
Gene_007615	Random_Chr_015	572217	574391	+	2174	4515
Gene_007616	Random_Chr_015	574471	575434	-	963	438
Gene_007617	Random_Chr_015	575986	577729	+	1743	1243
Gene_007618	Random_Chr_015	580972	581815	-	843	280.5
Gene_007619	Random_Chr_015	582848	582964	+	116	5
Gene_007620	Random_Chr_015	583498	584259	+	761	199
Gene_007621	Random_Chr_015	584402	586253	+	1851	538
Gene_007622	Random_Chr_015	586255	586792	-	537	19
Gene_007623	Random_Chr_015	587463	587926	-	463	22
Gene_007624	Random_Chr_015	588372	588786	-	414	1818
Gene_007625	Random_Chr_015	588927	589840	-	913	297
Gene_007626	Random_Chr_015	590315	591257	-	942	232
Gene_007627	Random_Chr_015	591259	593473	-	2214	519
Gene_007628	Random_Chr_015	594462	595925	+	1463	654
Gene_007629	Random_Chr_015	595976	598721	-	2745	153
Gene_007630	Random_Chr_015	598988	600446	+	1458	3158
Gene_007631	Random_Chr_015	600491	602455	-	1964	638
Gene_007632	Random_Chr_015	602811	604177	+	1366	132
Gene_007633	Random_Chr_015	604227	604910	+	683	221
Gene_007634	Random_Chr_015	604912	606735	-	1823	1992
Gene_007635	Random_Chr_015	606737	607650	-	913	707
Gene_007636	Random_Chr_015	607927	609678	+	1751	1014
Gene_007637	Random_Chr_015	609721	610096	-	375	792
Gene_007638	Random_Chr_015	610256	610807	-	551	569
Gene_007639	Random_Chr_015	611264	612040	-	776	62
Gene_007640	Random_Chr_015	612565	613429	-	864	6
Gene_007641	Random_Chr_015	613525	614052	-	527	246
Gene_007642	Random_Chr_015	614175	615033	-	858	0
Gene_007643	Random_Chr_015	615497	616855	+	1358	29
Gene_007644	Random_Chr_015	617082	620084	+	3002	3435
Gene_007645	Random_Chr_015	620086	621843	-	1757	3257
Gene_007646	Random_Chr_015	621980	623176	+	1196	1024
Gene_007647	Random_Chr_015	624513	624704	+	191	0
Gene_007648	Random_Chr_015	624967	627144	-	2177	477.7
Gene_007649	Random_Chr_015	629801	631493	+	1692	2129
Gene_007650	Random_Chr_015	631785	631901	-	116	7
Gene_007651	Random_Chr_015	632932	635989	+	3057	266.5
Gene_007652	Random_Chr_015	636441	636557	-	116	0
Gene_007653	Random_Chr_015	638886	640249	+	1363	171
Gene_007654	Random_Chr_015	640799	640915	-	116	1
Gene_007655	Random_Chr_015	641009	641661	+	652	0
Gene_007656	Random_Chr_015	641902	643973	+	2071	5
Gene_007657	Random_Chr_015	644157	644732	+	575	81
Gene_007658	Random_Chr_015	645047	645439	+	392	82
Gene_007659	Random_Chr_015	645660	646321	-	661	445
Gene_007660	Random_Chr_015	646553	647413	-	860	59
Gene_007661	Random_Chr_015	649187	650795	-	1608	241.5
Gene_007662	Random_Chr_015	651855	651971	+	116	17
Gene_007663	Random_Chr_015	652120	653421	+	1301	806
Gene_007664	Random_Chr_015	653464	653725	-	261	321
Gene_007665	Random_Chr_015	654214	657369	+	3155	1647
Gene_007666	Random_Chr_015	657733	660689	+	2956	7
Gene_007667	Random_Chr_015	660784	661580	+	796	586
Gene_007668	Random_Chr_015	661743	663346	+	1603	1046
Gene_007669	Random_Chr_015	663518	665676	+	2158	1095
Gene_007670	Random_Chr_015	665725	666502	-	777	4
Gene_007671	Random_Chr_015	666802	668114	-	1312	4121
Gene_007672	Random_Chr_015	668535	670972	+	2437	29
Gene_007673	Random_Chr_015	671373	673119	-	1746	2538
Gene_007674	Random_Chr_015	673342	676127	+	2785	1162
Gene_007675	Random_Chr_015	676245	676316	+	71	0
Gene_007676	Random_Chr_015	676389	676988	+	599	647
Gene_007677	Random_Chr_015	677138	679177	-	2039	1774
Gene_007678	Random_Chr_015	679538	681835	-	2297	486
Gene_007679	Random_Chr_015	682267	682854	+	587	1546
Gene_007680	Random_Chr_015	682954	683744	-	790	704
Gene_007681	Random_Chr_015	684445	685743	+	1298	409
Gene_007682	Random_Chr_015	686639	688585	-	1946	5.5
Gene_007683	Random_Chr_015	689219	690021	+	802	53
Gene_007684	Random_Chr_016	3641	3952	+	311	5.03
Gene_007685	Random_Chr_016	4759	4914	-	155	1
Gene_007686	Random_Chr_016	7580	8104	+	524	6
Gene_007687	Random_Chr_016	8854	9123	-	269	107511.5
Gene_007688	Random_Chr_016	10126	11503	-	1377	271.33
Gene_007689	Random_Chr_016	12270	12843	+	573	71
Gene_007690	Random_Chr_016	14301	14947	-	646	148
Gene_007691	Random_Chr_016	16157	29756	-	13599	282.17
Gene_007692	Random_Chr_016	30148	31986	+	1838	1518
Gene_007693	Random_Chr_016	32443	39939	+	7496	8564
Gene_007694	Random_Chr_016	40386	41252	-	866	22
Gene_007695	Random_Chr_016	41680	43027	+	1347	2212
Gene_007696	Random_Chr_016	43031	43495	-	464	43
Gene_007697	Random_Chr_016	43816	44272	+	456	3
Gene_007698	Random_Chr_016	44381	45791	-	1410	902
Gene_007699	Random_Chr_016	46309	47015	+	706	1333
Gene_007700	Random_Chr_016	47103	47723	-	620	943
Gene_007701	Random_Chr_016	47996	49036	-	1040	32
Gene_007702	Random_Chr_016	49377	50336	+	959	2580
Gene_007703	Random_Chr_016	50713	51327	+	614	17
Gene_007704	Random_Chr_016	51539	51825	-	286	60
Gene_007705	Random_Chr_016	51980	52685	-	705	173.5
Gene_007706	Random_Chr_016	53266	53439	+	173	0
Gene_007707	Random_Chr_016	54018	54699	-	681	20
Gene_007708	Random_Chr_016	55463	55807	-	344	0
Gene_007709	Random_Chr_016	56565	57673	+	1108	50
Gene_007710	Random_Chr_016	58002	59283	-	1281	19.5
Gene_007711	Random_Chr_016	59285	60563	+	1278	27
Gene_007712	Random_Chr_016	60565	61033	+	468	9.5
Gene_007713	Random_Chr_016	63876	66126	-	2250	23
Gene_007714	Random_Chr_016	66927	67741	-	814	4
Gene_007715	Random_Chr_016	68693	69013	+	320	0
Gene_007716	Random_Chr_016	69545	70195	+	650	1
Gene_007717	Random_Chr_016	70247	70501	+	254	0
Gene_007718	Random_Chr_016	70679	71260	-	581	0
Gene_007719	Random_Chr_016	71435	71801	+	366	0
Gene_007720	Random_Chr_016	72292	72778	+	486	1
Gene_007721	Random_Chr_016	73099	74570	+	1471	4
Gene_007722	Random_Chr_016	74675	77119	-	2444	1813
Gene_007723	Random_Chr_016	77473	77557	+	84	2
Gene_007724	Random_Chr_016	79550	80671	-	1121	70
Gene_007725	Random_Chr_016	80755	81858	-	1103	1
Gene_007726	Random_Chr_016	82472	82963	+	491	0
Gene_007727	Random_Chr_016	83380	83850	-	470	0
Gene_007728	Random_Chr_016	84081	85454	+	1373	0
Gene_007729	Random_Chr_016	85847	86729	+	882	1
Gene_007730	Random_Chr_016	87334	88200	+	866	1
Gene_007731	Random_Chr_016	88203	88932	-	729	7
Gene_007732	Random_Chr_016	89042	89819	+	777	1248
Gene_007733	Random_Chr_016	89848	90072	-	224	102
Gene_007734	Random_Chr_016	90795	91822	+	1027	5
Gene_007735	Random_Chr_016	92199	92528	-	329	0
Gene_007736	Random_Chr_016	93356	93625	-	269	0
Gene_007737	Random_Chr_016	93790	95499	+	1709	3440
Gene_007738	Random_Chr_016	95743	96714	+	971	1241
Gene_007739	Random_Chr_016	97113	99571	-	2458	39
Gene_007740	Random_Chr_016	99888	101218	+	1330	43
Gene_007741	Random_Chr_016	101443	102637	-	1194	2516
Gene_007742	Random_Chr_016	103408	103675	-	267	781
Gene_007743	Random_Chr_016	104260	105201	+	941	1603
Gene_007744	Random_Chr_016	105626	107761	-	2135	56
Gene_007745	Random_Chr_016	108711	109092	-	381	182
Gene_007746	Random_Chr_016	109140	110040	-	900	650
Gene_007747	Random_Chr_016	111255	111515	+	260	8
Gene_007748	Random_Chr_016	111599	111877	-	278	309
Gene_007749	Random_Chr_016	113072	113689	+	617	2
Gene_007750	Random_Chr_016	113902	115704	+	1802	1
Gene_007751	Random_Chr_016	115954	120663	+	4709	94
Gene_007752	Random_Chr_016	120665	121474	-	809	2109
Gene_007753	Random_Chr_016	124171	125043	-	872	764
Gene_007754	Random_Chr_016	126340	126431	+	91	1
Gene_007755	Random_Chr_016	126749	126830	+	81	0
Gene_007756	Random_Chr_016	127174	127778	-	604	0
Gene_007757	Random_Chr_016	128241	132981	-	4740	4110
Gene_007758	Random_Chr_016	133371	135142	+	1771	149
Gene_007759	Random_Chr_016	135144	136858	-	1714	2151
Gene_007760	Random_Chr_016	137606	139249	-	1643	3209
Gene_007761	Random_Chr_016	140555	142279	+	1724	14
Gene_007762	Random_Chr_016	142461	145277	+	2816	192
Gene_007763	Random_Chr_016	145311	147984	-	2673	1597
Gene_007764	Random_Chr_016	148164	149254	-	1090	1445
Gene_007765	Random_Chr_016	149818	150514	+	696	3
Gene_007766	Random_Chr_016	152158	153577	-	1419	1682
Gene_007767	Random_Chr_016	153752	153967	-	215	61
Gene_007768	Random_Chr_016	154320	155548	+	1228	621
Gene_007769	Random_Chr_016	155789	156283	-	494	192
Gene_007770	Random_Chr_016	156609	157012	-	403	203
Gene_007771	Random_Chr_016	157224	158383	-	1159	85
Gene_007772	Random_Chr_016	158521	160033	+	1512	93
Gene_007773	Random_Chr_016	160294	160831	-	537	174
Gene_007774	Random_Chr_016	161293	162138	+	845	224
Gene_007775	Random_Chr_016	162325	163432	+	1107	711
Gene_007776	Random_Chr_016	163716	164618	+	902	231
Gene_007777	Random_Chr_016	164933	171836	+	6903	2106
Gene_007778	Random_Chr_016	171951	174987	-	3036	2784
Gene_007779	Random_Chr_016	175221	176046	-	825	521
Gene_007780	Random_Chr_016	180810	181242	-	432	18
Gene_007781	Random_Chr_016	182417	184496	+	2079	889
Gene_007782	Random_Chr_016	184581	184937	+	356	107
Gene_007783	Random_Chr_016	184997	185334	-	337	0
Gene_007784	Random_Chr_016	186850	193205	-	6355	81
Gene_007785	Random_Chr_016	193474	195361	-	1887	3902
Gene_007786	Random_Chr_016	195496	196944	-	1448	16
Gene_007787	Random_Chr_016	197143	199361	-	2218	2332
Gene_007788	Random_Chr_016	200065	201288	+	1223	13
Gene_007789	Random_Chr_016	201389	201862	+	473	570
Gene_007790	Random_Chr_016	201864	203546	-	1682	744
Gene_007791	Random_Chr_016	203814	207348	+	3534	3211
Gene_007792	Random_Chr_016	207414	207662	-	248	4207
Gene_007793	Random_Chr_016	207767	208768	-	1001	41
Gene_007794	Random_Chr_016	208958	219587	+	10629	396
Gene_007795	Random_Chr_016	220168	221340	+	1172	489
Gene_007796	Random_Chr_016	222049	222874	+	825	251
Gene_007797	Random_Chr_016	223847	224251	-	404	120
Gene_007798	Random_Chr_016	226359	227879	+	1520	322.58
Gene_007799	Random_Chr_016	229111	231201	+	2090	1854.5
Gene_007800	Random_Chr_016	231211	233994	+	2783	2174
Gene_007801	Random_Chr_016	234131	235296	-	1165	3736
Gene_007802	Random_Chr_016	235388	236671	-	1283	165
Gene_007803	Random_Chr_016	237130	241580	+	4450	8564
Gene_007804	Random_Chr_016	241613	243925	-	2312	6233
Gene_007805	Random_Chr_016	244387	246104	-	1717	2108
Gene_007806	Random_Chr_016	246310	248403	-	2093	1368
Gene_007807	Random_Chr_016	248919	249419	+	500	291
Gene_007808	Random_Chr_016	250144	250851	-	707	302
Gene_007809	Random_Chr_016	251632	253194	-	1562	847
Gene_007810	Random_Chr_016	255713	256881	-	1168	1162
Gene_007811	Random_Chr_016	257273	258454	+	1181	2251
Gene_007812	Random_Chr_016	258832	259179	+	347	1
Gene_007813	Random_Chr_016	259451	261792	+	2341	271
Gene_007814	Random_Chr_016	261794	263654	-	1860	9069
Gene_007815	Random_Chr_016	263882	265975	+	2093	2552
Gene_007816	Random_Chr_016	266141	266530	+	389	738
Gene_007817	Random_Chr_016	266594	270464	-	3870	117
Gene_007818	Random_Chr_016	270589	271727	-	1138	116
Gene_007819	Random_Chr_016	272244	274729	-	2485	958
Gene_007820	Random_Chr_016	275596	275878	+	282	135.5
Gene_007821	Random_Chr_016	276017	276979	-	962	276.66
Gene_007822	Random_Chr_016	277589	278994	+	1405	891
Gene_007823	Random_Chr_016	279102	279364	+	262	3309
Gene_007824	Random_Chr_016	279366	282747	-	3381	4019.67
Gene_007825	Random_Chr_016	282997	283969	+	972	808
Gene_007826	Random_Chr_016	284153	285119	-	966	243
Gene_007827	Random_Chr_016	285804	286750	-	946	22.5
Gene_007828	Random_Chr_016	286827	288978	+	2151	1455
Gene_007829	Random_Chr_016	288982	290716	-	1734	1155
Gene_007830	Random_Chr_016	290718	292850	-	2132	964
Gene_007831	Random_Chr_016	293234	294240	-	1006	677
Gene_007832	Random_Chr_016	294564	295227	-	663	500
Gene_007833	Random_Chr_016	297221	298067	-	846	33
Gene_007834	Random_Chr_016	298521	299275	+	754	55
Gene_007835	Random_Chr_016	299451	303925	-	4474	2841
Gene_007836	Random_Chr_016	305114	307323	+	2209	93
Gene_007837	Random_Chr_016	307611	308325	+	714	395
Gene_007838	Random_Chr_016	308895	311960	+	3065	2127
Gene_007839	Random_Chr_016	312116	312830	+	714	445
Gene_007840	Random_Chr_016	312906	313811	-	905	0
Gene_007841	Random_Chr_016	314459	317322	-	2863	1536
Gene_007842	Random_Chr_016	317667	318857	-	1190	6
Gene_007843	Random_Chr_016	319376	321139	-	1763	2123
Gene_007844	Random_Chr_016	321296	322690	+	1394	643
Gene_007845	Random_Chr_016	322692	323679	+	987	706
Gene_007846	Random_Chr_016	323681	327271	-	3590	388
Gene_007847	Random_Chr_016	327372	329469	-	2097	2381
Gene_007848	Random_Chr_016	329640	330515	+	875	1113
Gene_007849	Random_Chr_016	332138	332612	-	474	8
Gene_007850	Random_Chr_016	333665	334195	-	530	0
Gene_007851	Random_Chr_016	334925	336337	-	1412	71
Gene_007852	Random_Chr_016	336842	338501	-	1659	5211
Gene_007853	Random_Chr_016	338505	340483	-	1978	232
Gene_007854	Random_Chr_016	340526	341974	-	1448	692
Gene_007855	Random_Chr_016	342304	343203	-	899	53
Gene_007856	Random_Chr_016	344567	344737	+	170	35
Gene_007857	Random_Chr_016	345292	346470	+	1178	637
Gene_007858	Random_Chr_016	347058	347621	-	563	8
Gene_007859	Random_Chr_016	348638	350751	-	2113	1686
Gene_007860	Random_Chr_016	351317	353133	-	1816	1359
Gene_007861	Random_Chr_016	353292	354305	-	1013	1454
Gene_007862	Random_Chr_016	354541	355455	-	914	2
Gene_007863	Random_Chr_016	355520	356993	-	1473	7
Gene_007864	Random_Chr_016	357583	359409	-	1826	16
Gene_007865	Random_Chr_016	360040	360318	-	278	17
Gene_007866	Random_Chr_016	362896	364248	+	1352	2
Gene_007867	Random_Chr_016	364730	365737	+	1007	759
Gene_007868	Random_Chr_016	365739	366241	+	502	480
Gene_007869	Random_Chr_016	369094	370010	-	916	205
Gene_007870	Random_Chr_016	370431	371450	-	1019	71
Gene_007871	Random_Chr_016	372928	374157	-	1229	1
Gene_007872	Random_Chr_016	374498	374824	-	326	20
Gene_007873	Random_Chr_016	374909	375949	-	1040	1279
Gene_007874	Random_Chr_016	376153	378622	+	2469	3911
Gene_007875	Random_Chr_016	382955	383901	-	946	76
Gene_007876	Random_Chr_016	384117	385802	-	1685	19
Gene_007877	Random_Chr_016	386081	387616	+	1535	11
Gene_007878	Random_Chr_016	388438	391001	-	2563	162
Gene_007879	Random_Chr_016	391807	393140	+	1333	281
Gene_007880	Random_Chr_016	393142	395277	+	2135	302
Gene_007881	Random_Chr_016	395282	395713	-	431	319
Gene_007882	Random_Chr_016	395768	396542	+	774	81
Gene_007883	Random_Chr_016	396734	397300	+	566	151
Gene_007884	Random_Chr_016	397499	397777	+	278	0
Gene_007885	Random_Chr_016	398404	399286	+	882	78
Gene_007886	Random_Chr_016	399669	399899	-	230	83
Gene_007887	Random_Chr_016	400517	401379	+	862	0
Gene_007888	Random_Chr_016	401975	402144	+	169	0
